題目,A,B,C,D,複選,答案,詳解
"公司機房重地購買地震險或火險，此行為屬於下列何種風險處理方式？","風險接受（Acceptance）","風險規避（Avoidance）","風險降低（Reduction）","風險移轉（Transfer）",0,"D","保險或契約為風險移轉方式"
"在資安風險管理過程中，關於風險識別（Risk Identification）應包括的工作項目，下列何者較「不」正確？","識別威脅（Threat）","識別脆弱點（Vulnerability）","識別風險等級（Risk Level）","識別資產（Asset）",0,"C","風險等級屬於風險分析(Analysis)或評估(Assessment)階段，而非純「識別」階段"
"為避免機房在一樓可能遭淹水風險，而將機房搬到較高樓層，此為何種風險處理行為？","風險規避（Avoidance）","風險移轉（Transfer）","風險降低（Reduction）","風險接受（Acceptance）",0,"A","從根本上避免風險發生環境，屬風險規避"
"關於風險評鑑管理程序，下列敘述何者較「不」正確？","建立全景係界定風險評鑑範圍","詳細風險評鑑包含風險識別、風險分析與風險評估","風險處理若符合風險處理準則，則進入風險接受","風險評鑑若不符合風險評鑑準則，則進入風險溝通階段",0,"D","若不符合風險準則，通常是重新評估或再處理，而非進入風險溝通"
"關於風險降低（Reduction），下列敘述何者「不」正確？","包括日常稽核控制遵循程度","包括處理偶發事故的計畫","找出新方法可能帶來的相對利益","包括契約、保險與合夥結構等",0,"D","D 敘述屬風險移轉範疇，而非風險降低"
"關於風險分析，下列敘述何者較「不」正確？","目的在找出風險發生的可能性","用於評估風險等級","可分析事件發生的影響性","會影響風險準則的訂定",0,"D","風險準則通常在風險分析前即先訂定，分析結果不會反過來改變準則"
"存取控制（Access Control）決定使用者與系統的溝通，防止未經授權存取。下列何者「不」是組織主要區分的三種操作模式？","強制存取控制（MAC）","任意存取控制（DAC）","屬性存取控制（ABAC）","角色基準存取控制（RBAC）",0,"C","現行常見為 MAC、DAC、RBAC，ABAC 雖為趨勢，但題目指「主要三種」時多不含 ABAC"
"關於存取控制，下列敘述何者較「不」正確？","依不同角色賦予不同資料存取權限","依資料機密層級設立存取權限","將所有角色設定共同權限以方便操作","記錄所有存取事件以便未來追蹤",0,"C","C 會造成安全漏洞，違反最小權限原則"
"為鑑別使用者身份，常採用多因素驗證，下列何者「不」屬於多因素驗證的設計原理？","Something you know","Something you want","Something you have","Something you are",0,"B","多因素認證為「知道」「有」「是」，B 非常見的要素"
"關於特權帳號管理，下列敘述何者較「不」適當？","定期修改密碼","設定複雜密碼，且首次登入需變更預設密碼","使用系統預設帳號作管理者執行實際工作","限縮預設管理者帳號之權限",0,"C","不宜直接使用預設帳號執行管理工作，會帶來風險"
"若運用生物特徵進行認證時，儀器最佳靈敏度應調整在誤殺與誤放曲線交叉點，此稱為下列何種錯誤率？","位元錯誤率（BER）","封包錯誤率（PER）","測試錯誤率（TER）","交點錯誤率（CER）",0,"D","交點錯誤率（Crossover Error Rate）"
"關於自然人憑證，下列敘述何者「不」正確？","基於 PKI 架構應用","在網路上代表申請人具法律效力","申請一次永久有效無需換發","於網路上的應用具不可否認性",0,"C","自然人憑證有有效期限，需定期換發"
"遠端用戶撥入驗證服務（RADIUS）是 AAA 三種服務的網路傳輸協議，下列何者「不」正確？","Authentication","Authorization","Access","Accounting",0,"C","AAA 為 Authentication、Authorization、Accounting"
"關於存取控制需求的申請及審核，下列敘述何者「不」正確？","需要申請與審核機制","應定期檢視申請內容與實際需求是否一致","申請人主管審核通過即可由申請人逕行設定","組織應制定政策規範，使管理人員有所依循",0,"C","審核通過後通常由系統管理或資安人員設定，非申請人自行設定"
"關於最小權限原則（PoLP），下列敘述何者「不」正確？","僅指使用者權限，不含系統程序","僅給執行任務所需最小權限","可避免被濫用或盜用時破壞擴大","是現行常用的資安權限設定準則之一",0,"A","最小權限原則也適用於系統程序/服務帳號等，不只針對使用者"
"關於驗證（Authentication）與授權（Authorization），下列敘述何者正確？","輸入帳號密碼屬於 Authorization","CEO 可調閱資料屬於 Authorization","使用者輸入 MFA Token 屬於 Authorization","警察扣留嫌犯 72 小時屬於 Authentication",0,"B","能存取哪些資料屬於授權範疇，CEO 可調閱資料即為授權"
"關於 IAM，下列敘述何者較「不」恰當？","使用者應妥善保管 IC 卡，不可外借","帳號與權限清查無須留下相關軌跡","任何使用者均需輸入帳密以進行身分鑑別","專案結束時刪除無關帳號",0,"B","帳號與權限清查應留存紀錄，以備追蹤"
"下列何者「不」是對稱式加密？","DES","3DES","ECC","RC6",0,"C","ECC 為非對稱式加密（公私鑰）"
"關於公鑰與私鑰加解密，下列敘述何者「不」正確？","公私鑰系統可用「公鑰加密」「私鑰解密」","數位簽章時，傳送端使用自己的公鑰製作簽章，接收端用私鑰驗簽","公鑰加密系統多人可拿公鑰加密，只有私鑰持有者可解密","數位簽章系統僅私鑰持有者可簽章，所有人皆可用公鑰驗簽",0,"B","數位簽章是用「私鑰簽名」「公鑰驗簽」，B 敘述反了"
"下列何種方式「不」能加強替換式密碼破解的難度？","使用諧音替換","改用凱薩密碼","隨意添加字元","使用非字典用語",0,"B","凱薩密碼也是替換式密碼的一種，安全性弱"
"關於網站加密連線方式，下列敘述何者「不」正確？","SSL/TLS 僅採用對稱式加密完成","SSL/TLS 加密過程中透過交握協定及紀錄協定兩階段運作","若未加密傳輸，取得封包即可看到內容，須用加密連線","SSL/TLS 運作於 TCP/IP 模型之 Application Layer",0,"A","SSL/TLS 結合對稱與非對稱機制，A 說「僅對稱」不正確"
"為分析資安事件根本原因，故意設置脆弱性主機吸引駭客攻擊，以了解駭客技術及行為模式，此行為屬於下列何者？","多層次防禦（Layered Defense）","蜜罐（Honeypot）","滲透測試（Penetration Test）","黑箱測試（Black-Box Testing）",0,"B","放置 Honeypot 蒐集駭客行為"
"關於資安事件、事故之處理，下列敘述何者「不」正確？","資安事件指流量大增、防火牆日誌異常，尚未造成系統功能降低","駭客已侵入網路及主機時，應迅速截斷以免擴大","若失電應通報機電人員，此非資安事件，可不記錄","資安事件或事故處理時應嚴格管制人員",0,"C","失電亦造成服務中斷，屬於營運可用性問題，也應列為事件管理與後續紀錄"
"公司收到主管機關要求，每年進行網路資安健檢，下列何種處理較「不」符合要求？","遠端網路弱點掃描（Network Vulnerability Assessment）","遠端滲透測試（Penetration Testing）","到場網頁應用程式弱點掃描（Web Vulnerability Assessment）","到場網路安全備援服務",0,"D","安全健檢以弱點掃描或滲透測試為主，D 為備援服務不屬於資安健檢"
"處理資安事件時，蒐集硬碟資料證據、進行位元對位元拷貝以取得具法律效力證據，此行為屬於下列何者？","電腦鑑識（Computer Forensics）","滲透測試（Penetration Test）","風險分析（Risk Analysis）","網路弱點掃描（Network Vulnerability Assessment）",0,"A","電腦鑑識需嚴謹保存及分析證據"
"依「行政院國家資通安全會報通報及應變作業流程」，判定事故影響等級時，下列何者「不」是 4 級事件？","國家機密資料遭洩漏","關鍵基礎設施系統或資料遭嚴重竄改","關鍵基礎設施運作遭影響，無法於可容忍中斷時間內復原","機關業務系統或資料短暫停頓無法使用",0,"D","短暫停頓通常衝擊程度較低，非重大 4 級"
"關於營運持續管理活動，下列何者為正確的順序？(a) 擬定 BCP (b) 調整營運持續策略 (c) BIA (d) 定期演練","a b c d","c b a d","b a c d","a c b d",0,"B","先做 BIA，再依結果調整策略，最後擬定 BCP，定期演練"
"關於營運持續管理（BCM），下列敘述何者較「不」正確？","確保組織利益最大化","確保人員成本最小化","重大災害時，業務不中斷","購併其他產業時可迅速完成",0,"D","D 與 BCM 無直接關係，BCM 著重災害中維持關鍵業務"
"若希望估計營運可承受之最長中斷時間（MTPD），最可能從下列何者取得？","平衡計分卡（Balanced Score Card）","風險評鑑（Risk Assessment）","恢復點目標（RPO）","營運衝擊分析（BIA）",0,"D","MTPD 常透過 BIA 評估業務衝擊而取得"
"在營運持續規劃時，若評估公司資料遺失最大可接受程度為 10 分鐘，應考慮下列何者？","RPO","RTO","WRT","MTPD",0,"A","RPO: 容許資料回溯點，10 分鐘即指恢復點目標"
"下列何者「不」屬於復原程序之項目？","於備援設備安裝作業系統與應用程式","於復原系統重新載入備份資料","復原後重新評估災害發生風險","測試復原系統功能是否正常",0,"C","C 屬後續風險管理，而非復原程序必然項目"
