題目,A,B,C,D,複選,答案,詳解
"下列何者為隱私保護的適當做法？","以電子郵件傳輸個人資料時，先將個人資料加密","將公司的員工通訊錄公開於網路上","直接將大量個人資料儲存在隨身碟","直接將大量個人資料燒錄在光碟中",0,"A","加密可保護隱私；其餘選項容易造成個資外洩風險"
"下列何者「不」是個人隱私保護需涵蓋的範圍？","個人資料","身體特徵","公司地址","通訊內容",0,"C","公司地址通常不屬於個人隱私範疇"
"某生在學校宿舍內架設網站，分享從網路上下載的音樂或影片並提供同學下載，請問侵犯了下列何種法規？","營業秘密法","智慧財產權法","個人資料保護法","著作權法",0,"D","分享下載音樂或影片且提供他人下載，侵害著作權"
"關於資訊資產，下列敘述何者「不」正確？","資產指任何對組織有價值的事物","資產包含有形事物，資訊包含無形事物","資訊也是資產的一種","資訊可以以許多不同形式存在",0,"B","資訊同樣是資產，可為無形資產；B 敘述將「資訊」與「資產」割裂，不正確"
"關於資訊安全管理之資訊資產清冊，下列敘述何者「不」正確？","資產的重要性應與所支援的業務有關","運用資產管理軟體掃描可省去確認程序","資訊資產應依據其類型進行分類","資產的重要性依其支援業務的重要性而有差異",0,"B","光用軟體掃描無法完全取代人工確認，B 敘述不正確"
"關於資訊資產擁有者在資產管理中的工作描述，下列敘述何者「不」正確？","確保資產已盤點與造冊","確保資產已適切分級並受保護","當資產刪除或銷毀時，確保已適當清除與處理","例行工作應親自執行，不可指派他人",0,"D","可指派他人執行，擁有者則負最終責任"
"關於資訊資產分級，下列敘述何者較正確？","資訊資產分級主要目的是方便組織進行資產登記與報廢","資訊資產分級主要目的是協助組織定義資訊資產對組織的重要性","資訊資產的採購金額愈高，其重要性一定愈高","人員不屬於應評估的資訊資產對象",0,"B","主要目的是區分資產對組織的重要程度，以做適當保護"
"若要保護機敏資料，關於可攜式媒體（如 USB 隨身碟）的管理，下列敘述何者較「不」適當？","將可攜式媒體儲存在安全環境中","將可攜式媒體上的敏感資料進行加密","不將可攜式媒體登載於資產清冊上","不需使用的可攜式媒體，應將所儲存資料徹底移除",0,"C","可攜式媒體應納入資產清冊管控，以免遺失或外洩"
"關於資訊資產之擁有、保管與使用，下列敘述何者正確？","使用者負責獲得適當授權以存取或異動資訊資產","擁有者對資訊資產負有管理責任，通常由各使用者擔任","使用者負責資訊資產的相關處理與保管工作","資訊資產之擁有、保管與使用的權責，應由各部門主管指定適當之擁有者、保管者與使用者",0,"D","權責應明確指定：擁有者、保管者、使用者各有不同職責"
"下列何者「不」屬於資訊資產？","人事資料","電腦","辦公桌椅","套裝軟體",0,"C","辦公桌椅屬於一般資產，非屬資訊資產"
"關於資訊資產分級的目的，下列敘述何者較為正確？","確保組織安全責任","限制對資訊的存取","確保資產依組織之重要性受到適切等級的保護","確保系統運作的完整性",0,"C","分級的主要目的在於針對不同重要程度，提供相對應的保護等級"
"關於殘餘風險（Residual Risk），下列敘述何者正確？","單位可以承受的風險","沒有被識別的風險","已被識別但沒有指定處置方法的風險","執行風險處理措施後仍殘留的風險",0,"D","殘餘風險指在已採取控制措施後，仍不可避免留下的風險"
"關於風險辨識（Risk Identification），下列敘述何者正確？","是發掘可能發生風險事件及其原因和方式","是組織進行風險評鑑、分析與評估的整體流程","是理解風險本質並決定風險等級的流程","是比較風險分析結果與風險準則來決定風險是否可接受的流程",0,"A","風險辨識即找出「可能發生的風險事件及其原因與方式」"
"若在執行定期風險評鑑進入尾聲時發現一項新風險議題，下列何者較「不」適當？","將該風險議題納入此次評鑑，一併完成評鑑","針對該風險議題額外執行風險評鑑並出具報告","因定期評鑑有完成期限，故對此風險議題不做處理","先初步評估該風險議題是否有重大影響，若無則事後再進行完整評估",0,"C","不處理新風險是錯誤做法，仍應納入風險管理流程"
"關於風險評鑑（Risk Assessment），下列敘述何者較「不」正確？","是一種風險管理的機制","是將預估風險與已知風險準則進行比較的過程","目的是決定可接受風險的程度","目的是將可接受風險與主要風險分開，並移除殘餘風險",0,"D","不可能完全「移除」殘餘風險，D 敘述不正確"
"發生資安事件攻擊時，若其損失在組織可容忍範圍內，可採取下列何種風險處置策略？","風險接受（Acceptance）","風險降低（Reduction）","風險移轉（Transfer）","風險避免（Avoidance）",0,"A","組織可容忍範圍則選擇接受"
"使用網路銀行轉帳或付款時，銀行要求提供手機號碼傳送臨時驗證碼，然後請你輸入驗證碼確認轉帳程序；請問此處「手機」屬於下列何種驗證要素？","Something you know","Something you have","Something you are","Something you see",0,"B","手機（行動裝置）屬於使用者「持有」的實體"
"某線上交易網站遭利用程式重複登入，增加伺服器負載且妨礙正常使用者，資安專家建議利用圖片辨識作為認證機制...請問專家建議採用何者？","Akismet","CAPTCHA","二階段驗證（Two-Step Verification）","雙因子認證（Two-Factor Authentication）",0,"B","CAPTCHA 用於區分真人與自動程式"
"身分認證技術用以核對使用者身分，提供相對應權限，請問下列何種認證方式較難偽造？","6 位數字密碼認證","6 位數字及英文字母（大小寫）＋智慧卡認證","6 位數字、英文字母（大小寫）及特殊符號認證","運用視網膜（Retina）進行認證",0,"D","視網膜等生物特徵認證較難偽造"
"關於生物特徵認證中 CER、FRR 與 FAR 三種評比指標，下列敘述何者「不」正確？","CER：交叉錯誤率，為 FRR 與 FAR 兩曲線的交叉點","FRR：錯誤拒絕率，將正確驗證誤判為錯誤（屬 Type I error）","FAR：錯誤接受率，將錯誤驗證誤判為正確（屬 Type II error）","生物特徵認證中，最好的是 CER 與 FAR 愈高越好",0,"D","CER 與 FAR 愈低越好，D 敘述不正確"
"如果運用生物特徵進行身分認證，生物特徵可分為靜態與動態特徵，請問下列哪些屬於「靜態特徵」？(1)指紋、(2)聲音模式、(3)視網膜","(1)(2)","(1)(3)","(2)(3)","(1)(2)(3)",0,"B","指紋、視網膜屬於靜態，聲音屬動態"
"關於身分認證及權限管理，下列敘述何者較「不」恰當？","使用者應妥善保管 IC 卡，不可隨意借給他人","不定期清查帳號與權限","任何使用者均需輸入帳號及密碼進行身分鑑別","專案或工作結束時，應刪除與系統營運或維護無關之帳號",0,"B","帳號及權限應「定期」檢查而非「不定期」"
"下列何者「不」是單一登入（Single Sign-On, SSO）的特點？","集中權限控管","降低不同帳號密碼記憶困擾","減少重新輸入密碼程序","簡訊認證",0,"D","D 與 SSO 無直接關係；SSO 是單一次登入取得多系統權限"
"關於存取控制，下列敘述何者較「不」適當？","使用防火牆區隔內外網路，將公司對外網站置於 DMZ 並關閉非必要連接埠","使用網段區隔技術隔離敏感系統及重要機密群組，但內部各網段仍直接互聯","機密檔案加密系統使用者依工作性質設定群組權限，非該群組成員無法開啟加密檔案","重要系統設定其使用者若長時間未動作，則自動登出",0,"B","區隔後若仍直接互聯，區隔效果大打折扣"
"下列何者「不」是應用系統安全防護的三大核心（AAA）？","Authentication","Authorization","Availability","Accounting",0,"C","AAA 是認證 (Authentication)、授權 (Authorization)、稽核 (Accounting)"
"關於區塊加密法（Block Cipher），下列敘述何者「不」正確？","區塊加密採用多輪運算（Iteration）","多輪運算中，每輪使用的金鑰都是主金鑰","金鑰長度不一定需與區塊大小相同","加密演算法與解密演算法應互為反函式",0,"B","多輪運算中各輪的子金鑰可不同，B 敘述不正確"
"若明文為「WE ARE DISCOVERED FLEE AT ONCE」，使用凱撒密碼偏移量為 6，密文應為下列何者？","CKGXK JOYIU BKXKJ LRKKG ZUTIK","IQMDQ PUEOA HQDQP RXQQM FAZOQ","OWSJW VAKUG NWJWV XDWWS LGFUW","UCYPC BGQAM TCPCB DJCCY RMLAC",0,"A","題目所示偏移量 6 的對應密文為選項 A"
"關於網站加密協定，下列敘述何者「不」正確？","TLS 1.0 以下的協定版本存在降級攻擊（Downgrade Attack）的風險","SSL 與 TLS 1.0 差距相當微小，可視 TLS 為 SSL 標準化的版本","TLS 的優勢在於與應用層協定無耦合關係，應用層可透明於 TLS 傳遞資料","TLS 1.3 為目前最新版本，針對降級攻擊進行了修正",0,"A","實際上 SSL/TLS 早期版本確實易受降級攻擊，但題目敘述 A 誤導為「不正確」時，依題給答案而定"
"【複選題】關於對稱式加密（Symmetric Encryption），下列敘述何者「不」正確？","對稱式加密特色為加解密速度快，若使用長金鑰則安全性較高","對稱式加密金鑰管理重要，若有 N 位使用者，則需 N×(N-1) 金鑰","對稱式加密中金鑰管理極為重要，為決定安全性之根本","對稱式演算法可以驗證檔案所有人身分",1,"B/D","B：常見公式為 N(N-1)/2，非 N×(N-1)；D：無法證明所有人身分，需非對稱式或數位簽章"
"關於非對稱式加密（Asymmetric Encryption），下列敘述何者「不」正確？","非對稱式加密又稱公私鑰加密，公鑰可公開，私鑰須妥善保管","傳送方於傳送時可利用私鑰加密，接收方利用公鑰驗證檔案所有人","公鑰與私鑰為成對存在","若有 N 個使用者，則須 N+1 對金鑰",0,"D","若有 N 位使用者，通常需產生 N 對公私鑰，D 敘述不正確"
"關於資安事件發生時的緊急應變措施，下列敘述何者「不」正確？","依訂定之緊急應變計畫，實施處置並持續監控與追蹤管制","一定要緊急關閉電腦，防止資安事件發生","根據事件損壞程度啟動備援計畫、異地備援或備援中心等應變措施","評估事件對業務運作造成之衝擊，並進行損害管制",0,"B","不一定要關閉電腦，需視事件類型與應變計畫而定"
"資安事件緊急應變處置最重要的目的為下列何者？","用防火牆或網站應用程式防火牆（WAF）進行偵測和阻擋","採用弱掃工具或滲透測試服務驗證是否完成修補","控制受害範圍","立即使用資料復原",0,"C","最重要的是先控制住受影響範圍，防止擴大"
"關於資安事件（Event）與資安事故（Incident）留存紀錄，下列敘述何者較「不」正確？","事件與事故都可以進行趨勢分析","發生事故時，事件可協助分析與處置","都可作為符合法規之證據","資安事故才須留紀錄，資安事件無需留存以節省成本",0,"D","資安事件與事故都應紀錄，D 為不正確"
"關於事件紀錄，下列敘述何者正確？","組織應制定政策規範紀錄格式，使其保持一致","紀錄應盡量簡要，不應包含時間、事件摘要之外的資訊","事件資訊一經紀錄便不能被任何人修改，以維持其權威性","資安十分複雜，紀錄者只能依個人專業判斷事件等級",0,"A","應有一致化規範格式，以利後續分析與稽核"
"關於事件處理的移除或復原，下列敘述何者「不」正確？","根據鑑識分析報告，修補事件成因","根據被利用之弱點，盤點影響程度及範圍","修補後也應盤點確認，確保修補作業順利","應完成修補避免再度受駭，不可選擇執行系統重建",0,"D","若系統損壞嚴重，亦可重建系統，D 限制做法不正確"
"若固定每星期日執行一次完整備份（Full Backup），之後每天備份上次完整備份後異動的內容，此備份方式稱為何者？","差異備份（Differential Backup）","增量備份（Incremental Backup）","循環備份（Circulatory Backup）","緊急備份（Emergency Backup）",0,"A","差異備份是自上次完整備份後「有變動」的檔案都再行備份"
"關於復原點目標（RPO），下列敘述何者正確？","可以忍受多久的業務中斷","資料回復的時間點與資料量無關","以可容許資料損失的時間與資料量進行備份計畫評估","投入資源越多，恢復越慢",0,"C","RPO 係指容許的資料遺失量與時間點，故需評估備份策略"
"關於營運持續計畫（BCP）的目的，下列敘述何者較「不」正確？","BCP 是一套基於業務運行規律的管理要求和規範流程","業務持續性指企業有應對風險、自動調整與快速反應的能力","將災難影響減少至最小，確保業務流程能及時繼續運行","制訂並實施應變計畫，確保在要求時間內恢復業務流程",0,"A","BCP 主要著重在災難或突發事件下確保關鍵營運持續，A 敘述易誤導"
"關於營運測試，下列敘述何者正確？","平行測試：在實際作業環境中進行測試","完全中斷測試：於備援平台上進行測試","模擬測試：建立模擬環境並在其中測試","結構化排練測試：權責單位各自討論處理方式與可行性",0,"C","模擬測試係建立與真實相似的模擬環境，不影響正式系統"
"關於災害復原計畫（DRP）的目的，下列敘述何者「不」正確？","將災害造成的影響減少至最小程度","分析災害、安全缺失與服務損失的後果","採取必要措施確保業務能正常執行","回復資訊的完整，並確保資訊系統正常運作",0,"B","B 內容較偏風險評估面向，而非 DRP 的主要目的（依題目所示答案）"
