題目,A,B,C,D,複選,答案,詳解
"公開公鑰常透過憑證管理中心發行憑證。對於仍有效期但廢止的憑證，可透過下列何項協定查詢？","OCSP（Online Certificate Status Protocol）","OCRP（Online Certificate Register Protocol）","OCRP（Online Certificate Revoke Protocol）","CTP（Certificate Transmit Protocol）",0,"A","可用 OCSP 查詢憑證狀態"
"在 ISMS 中定義並進行資訊資產分級，下列何者最適合納入評估面向？","變現金額","折舊","流動性","機敏性",0,"D","分級主要考量機密性、敏感性"
"關於資訊資產的分級，下列敘述何者較「不」正確？","透過分級，可在兼顧成本下讓資產獲得適度保護","依 CIA 進行評估資產價值","公司公開文件與主管私密檔案價值不同，應投入相同保護資源","可用編號、條碼等方式做分類標示",0,"C","不同價值資產不應投入相同保護資源，C 敘述不正確"
"通用漏洞評分系統（CVSS）以基本、暫時及環境三群指標評估。關於基本指標群，下列何者「不」是其考量因素？","機密性衝擊（Confidentiality Impact）","攻擊途徑（Attack Vector）","攻擊複雜度（Attack Complexity）","可靠性衝擊（Reliability Impact）",0,"D","CVSS 基本度量不含 Reliability Impact"
"關於日誌與監控作業，下列敘述何者較「不」正確？","日誌應記錄使用者活動與異常，並依法令保存","為避免外洩，應在事件時才查詢，平時不應存取","日誌應避免被系統管理員修改","設備/系統時間需與可信時間同步",0,"B","日誌應定期審閱監控，非到事件時才查詢"
"下列何者「無法」加強使用者權限管理？","強制要求密碼複雜度與長度","審查權限變更紀錄","審查存取權限","特權帳號審查",0,"A","A 屬帳號管理策略，不一定直接加強權限「分配/稽核」層面的管理"
"關於系統安全性中，IETF 制定的 AAA 協定，下列何者定義主要說明認證機制？","Applicability","Authentication","Authorization","Accounting",0,"B","AAA = Authentication、Authorization、Accounting，其中 B 為認證"
"公司將資訊系統的資料進行備份，最主要是為了保護資訊安全中的何種特性？","機密性（Confidentiality）","可用性（Availability）","完整性（Integrity）","真確性（Authenticity）",0,"B","備份主要確保當發生損毀時可迅速恢復系統，屬可用性"
"為確保資訊依其對組織之重要性受到適切保護，下列何者「不」為其控制要求？","資訊之分級","資訊之標示","資訊之處置","資訊之統計",0,"D","資訊保護主要包含分級、標示、處置等，統計並非必須控制措施"
"為強化身份認證機制，我們常使用雙因素認證，下列何種組合並「不」屬於雙因素認證的定義？","密碼 + RFID 感應卡","RFID 感應卡 + 自然人憑證 IC 卡","自然人憑證 IC 卡 + 指紋","指紋 + 密碼",0,"B","「RFID 卡 + 自然人憑證 IC 卡」皆屬所持之物，僅單一因子類型"
"智慧財產權是指人類創作產生的財產價值，下列何者「不」屬於智慧財產權？","肖像權","專利權","著作權","軟體版權",0,"A","肖像權不屬智慧財產權保護範疇"
"下列何者「不」是組織在實作資訊安全營運持續時的必要做法？","任命有能力處理事故人員","制定營運持續計畫和災害復原程序","確保不利組織的災害不會發生","以文件化記錄營運持續過程與結果",0,"C","無法保證災害「不會」發生，只能做好防範與回復"
"下列何種人員負責風險評鑑後的風險處理與殘餘風險結果的核可？","資產擁有者（Asset Owner）","風險擁有者（Risk Owner）","設備擁有者（Device Owner）","資料擁有者（Data Owner）",0,"B","風險擁有者負責核可風險處理方案和殘餘風險"
"下列何種技術最常被拿來作為檔案完整性的檢查使用？","ECC","SHA2","RSA","AES",0,"B","SHA 系列為雜湊演算法，可檢查檔案完整性"
"依據資通安全事件通報及應變作業流程所訂定的資安事件影響等級，共分為幾級？","3 級","4 級","5 級","6 級",0,"B","依辦法規定，共分 4 級"
"請問資通安全管理法的何項子法，有定義資通系統防護基準要求？","資通安全事件通報及應變辦法","資通安全情資分享辦法","公務機關所屬人員資通安全事項獎懲辦法","資通安全責任等級分級辦法",0,"D","資通安全責任等級分級辦法中有訂定相對應系統防護基準"
"資訊安全管理系統（ISMS）採用 PDCA 循環的概念，下列何者「不」包含在此流程中？","高階管理審查會議","業務達成率審查","內部稽核執行","災難復原計畫演練",0,"B","業務達成率審查不在 ISMS PDCA 範疇內"
"關於歐盟一般資料保護規範（GDPR），下列敘述何者正確？","規範僅限歐盟當地企業","主要目標為取回個人對個資之控制權","若違反規定僅受名譽損害，無罰款","保護範圍不含線上定位資料",0,"B","GDPR 主要賦予個人對其個人資料的控制權，亦具跨境效力，違反可受高額罰款"
"關於資產分類分級，下列敘述何者較「不」正確？","可依據 CIA 進行分類","一般可分一般、限閱、敏感、機密四種","企業可自行制定分類方式","目的僅是方便識別",0,"D","目的不僅為識別，也在於依資產重要程度做恰當保護"
"下列何者「不」屬於風險評鑑之範圍及執行步驟？","風險分析","防護措施的選擇","風險接受","營運持續計畫",0,"D","BCP（營運持續計畫）並非風險評鑑步驟，而是後續管理工作"
"下列何者「不」是風險評鑑後，對於風險事項的處理方式？","風險規避","風險移轉","風險控制","風險再評鑑",0,"D","常見處置為規避、移轉、降低（控制）或接受，無「再評鑑」這種正式分類"
"關於 IPSec 金鑰管理機制，下列敘述何者正確？","IPSec 使用 SKIP 協定","IPSec 僅將 IKE 作候選協定但未實作","SKIP 協定有 SKIPv1、SKIPv2 兩版本","SKIP 為 IKE 之前身",0,"D","SKIP 是較早期的金鑰交換協定，IKE 後來取代 SKIP"
"下列何者較「不」需要資料加密？","登入網銀輸入帳密","線上刷卡購物輸入卡號","報稅時插入自然人憑證","瀏覽維基百科",0,"D","維基百科為公開資訊，一般不需要額外加密傳輸"
"關於 S/MIME 電子郵件加密協定進行跨組織資訊往來，下列敘述何者「不」正確？","使用者應透過權威 CA 來簽署公鑰","只針對電子郵件訊息加密，不包含附件","S/MIME 為美國 RSA 公司提出之規範","S/MIME 用之憑證應由第三方 CA 簽署",0,"B","S/MIME 可以連同附件加密，「只針對郵件本體」敘述不正確"
"關於事件應變，下列敘述何者較正確？","找到感染主機後，應立即進行證據採樣","資料收集時以人員口述為主","主機與網路證據為常見搜集標的","鑑識分析最終目的為反擊攻擊來源",0,"C","事件鑑識蒐證常見包含「主機+網路」證據；A 選項描述順序不盡正確，一般先保存現場或依標準流程處理再取證"
"事件過後的檢視改善中，「不」包含下列何者？","組織政策調整","滿意度調查","安全設定強化","教育訓練",0,"B","資安事件後的檢討與改善不會以「滿意度調查」作為必要項目"
"關於差異備份，下列敘述何者較為正確？","只備儲「自上次完全備份」後更改或新增的檔案","只備儲「自上次任意備份」後更改或新增的檔案","只備儲「自第三次備份」後更改或新增的檔案","只備儲「自上次完全備份」後新增的檔案",0,"A","差異備份 = 自「最後一次完全備份」後變動的全部檔案"
"下列何者「不」屬於營運持續計畫之演練方式？","模擬測試","檢查表測試","黑箱測試","完全中斷測試",0,"C","黑箱測試多用於安全測試，非營運持續計畫之演練方式"
"企業網路電路的使用較符合 ISMS 中何種資產類型？","軟體資產","資訊資產","韌體資產","服務資產",0,"D","網路電路屬外部服務的一種，歸於「服務資"
