題目,A,B,C,D,複選,答案,詳解
"關於「營業秘密法」，其營業秘密須符合之要件，下列何者錯誤？","非一般涉及該類資訊之人可知者","秘密性帶來經濟價值","採取合理保密措施","資訊洩漏會造成公司損失",0,"D","法條並未要求「洩漏必然會造成損失」作為構成要件"
"下列何者屬於個資法第 6 條「特種個人資料」？","身分證統一編號","基因","生物特徵","血統",0,"B","基因屬特種個人資料"
"創用 CC（Creative Commons）授權規定，下列何種使用方式違反授權標示？","必須按照著作人指定方式表彰姓名","將素材用於公益用途","將素材用於商業廣告","重製、散布、傳輸時不得修改",0,"C","BY 條款並非禁止商業用途，但題幹指出「違反授權標示」：實際上若未標示或作者另指定 NC 才禁止商業；題意答案依題給 C"
"公司資產管理中，為識別組織資產並定義保護責任，應優先採何種控制？","金鑰管理","懲處過程","變更管理","資產盤點",0,"D","先進行資產盤點以後續控管"
"關於可移除式媒體的管理，下列何者較「不」適當？","依製造商規格要求儲於安全環境","針對敏感資料加密","不再需要時徹底移除資料","不登載於資產清冊以減少遺失機會",0,"D","應將可移除媒體納入資產清冊管理"
"關於紙本類資訊資產標示原則，下列何者最「不」適當？","內部使用級紙本可無需標示","內部使用級紙本可使用不透明卷宗","密級紙本可於文件首頁標明機密等級或紅色卷宗","密級紙本可於封面標明機密等級或紅色卷宗",0,"A","內部使用級至少應有相應標示或歸檔，A 過度寬鬆"
"關於資產盤點程序，下列何者最適當？","可由組織個別業務活動流程開始盤點","應由資訊類資產開始盤點","應由軟體類資產開始盤點","應由硬體類資產開始盤點",0,"A","先從業務流程切入較能完整掌握資產"
"關於資訊資產盤點作業，下列何者「不」最適當？","資訊資產盤點即是資訊設備盤點","盤點可確認資產使用狀況","盤點應考量全面性","盤點應確認資產的可用性",0,"A","資產盤點範圍包含軟體、資料、服務、人員等，非只限設備"
"關於資產分類分級之敘述，下列何者錯誤？","建立清冊並定期清查","資訊資產不須指派管理者","人員異動或離職前應移交所保管之資產","報廢時依類別安全辦理銷毀",0,"B","通常需指派資產管理責任者"
"在 ISMS 中，電力供應屬於下列何種資產類型？","服務資產","資訊資產","硬體資產","軟體資產",0,"A","電力供應視為一種服務"
"下列敘述何者符合風險移轉？","投保機房火險","建立備援網路系統","停止網路平台交易業務","增加開啟系統權限之簽核流程",0,"A","投保是典型風險移轉"
"關於風險評鑑管理程序，下列何者「不」正確？","建立全景以界定範圍","詳細評鑑含識別、分析、評估","若風險處理合意則進入風險接受","若評鑑不合意則進入風險溝通",0,"D","不合意通常需重新評估或調整處置方案，非直接進入風險溝通"
"下列何者處理方式無法降低風險？","風險規避（avoidance）","風險保留（retention）","風險修改（modification）","風險分擔（sharing）",0,"B","風險保留即接受風險，不降低"
"為降低風險，下列何者最「不」是實施風險控制措施考量因素？","法規要求與限制","組織目標與規範","實施成本","資訊資產類別",0,"D","主要考量法規、目標、成本，資產類別只是輔助"
"「殘餘風險」之敘述為何？","單位可承受的風險","未被識別的風險","已識別但無指定處置的風險","執行風險處理後仍殘留的風險",0,"D","殘餘風險=控制措施後仍存在之風險"
"無人看守設備（如系統主機）風險，下列何者較「無」關於注意事項？","封閉場所加裝門鎖","開放場所加裝監視器監控","加裝滅火器","設定螢幕保護或使用密碼",0,"C","滅火器屬防災非防竊，與防止設備被誤用無直接關係"
"ERP 系統針對不同職務功能給予不同權限，其目的與下列何者關聯較高？","機密性、完整性","可用性、完整性","機密性、可用性","CIA 全面",0,"A","權限區隔以避免未授權存取（機密性）與誤操作（完整性）"
"門禁卡與機房進出需密碼控制實體出入，其主要目的是何項？","偵測性","指導性","預防性","嚇阻性",0,"C","需要授權方能進入為預防性控制"
"關於特權帳號管理與控制之注意，下列何者錯誤？","監控特權帳號登入時間/頻次","留下必要軌跡並每日稽核","雙授權機制增加控制","避免帳號分散應共用密碼方便管理",0,"D","共用密碼會降低可追蹤性，錯誤"
"現行科技發展言，下列何種生物特徵較「不」適合作身分鑑別？","指紋","虹膜","臉部特徵","身高",0,"D","身高區別度低且不穩定"
"關於生物辨識錯誤型態，下列何者正確？","錯誤接受（FAR）會拒絕正確使用者","交叉錯誤率（CER）時第一型錯誤=第二型錯誤","第一型錯誤（Type I）比第二型錯誤（Type II）更嚴重","視網膜與虹膜辨識 CER 最高",0,"B","CER 為 FRR=FAR 的交點"
"如附圖所示，使用帳密登入系統，為確保安全，必須採取何項措施？","(1)(2)(3)","(1)(2)(4)","(1)(3)(4)","(2)(3)(4)",0,"B","常見建議：定期更換(1)、提高複雜度(2)、避免與其他系統重複(4)"
"關於 AD 與 LDAP 之比較，下列何者正確？","AD 為通訊協定","LDAP 為目錄服務","AD 網域基本物件含 DC、Computers、Builtin、Users","LDAP 提供唯讀型網域控制站角色",0,"C","AD 是微軟的目錄服務，LDAP 是目錄存取協定，C 為正確"
"整合單一登入（SSO）解決方案需採開放性標準，在多網頁應用程式間交換認證訊息，下列何者最應作為建議？","RADIUS","SAML","TACACS+","XTACACS",0,"B","SAML 為常用基於 XML 的跨網頁 SSO 標準"
"公司簽到系統採用「簽名辨識」(動態特徵)，員工改用左手仍能通過，安全管理員應如何處理？","提高靈敏度以降低 FRR","降低靈敏度以提高 FRR","提高靈敏度以降低 FAR","降低靈敏度以提高 FAR",0,"C","此案例表示系統誤接受率過高，應提高靈敏度以降低 FAR"
"關於密碼學主要目的，下列何項錯誤？","機密性（Confidentiality）","完整性（Integrity）","可用性（Availability）","不可否認性（Non-Repudiation）",0,"C","密碼學無法直接保障可用性，C 為錯誤"
"關於金鑰生命週期管理於儲存階段，下列何項錯誤？","金鑰不可明文儲存","金鑰存在記憶體中即可保護","離線儲存時須以 KEK 保護","金鑰應儲存於 HSM",0,"B","記憶體中仍可能被讀取/傾印，非自動安全"
"量子電腦發展對現代密碼學影響，下列何者錯誤？","非對稱式密碼學可被有效破解","對稱式密碼學面臨巨大風險需全數汰換","後量子密碼學可抵禦量子電腦攻擊","CRYSTALS-Kyber、FALCON、Classic McEliece 為後量子密碼演算法",0,"B","對稱式加密以增加金鑰長度即可提升安全，無需全部汰換"
"Kerberos 認證過程，使用者取得的兩個票證依序為下列何者？","TGT、ST","ST、TGT","MT、ST","CT、ST",0,"A","Kerberos：先拿 TGT，後以 TGT 換 ST"
"下列何種機制「不」可用於加解密？","AES","DES","RSA","MD5",0,"D","MD5 為雜湊演算法，不具加解密功能"
"關於安全事件管理敘述，下列何者錯誤？","透過完整管理制度監控重要服務日誌","良好 SIEM 能達法規遵循及威脅管理","風險矩陣定義事件類別風險係數與設備服務重要性","OSSIM 為常見商業化 SIEM 系統",0,"D","OSSIM 為開源 SIEM，非商業化"
"依「資通安全事件通報及應變辦法」，主管機關判定 1 級或 2 級事件應幾小時內完成審核？","2 小時","4 小時","8 小時","12 小時",0,"C","1~2 級事件於 8 小時內完成審核"
"SIEM 的原文為下列何項？","Security Information and Event Management","System Incident and Escalation Management","Server Integration and Event Management","System Integration and Escalation Management",0,"A","SIEM = Security Information and Event Management"
"重大資訊安全事件處理完畢後，應研析問題原因並確保不再重複發生，由何者指派專人召開檢討會議？","資安事件處理小組組長","資訊安全工程師","資訊安全長","資安稽核組長",0,"C","重大事件需高階層（資訊安全長）指派召開檢討"
"關於組織遭遇 DoS 或 DDoS 攻擊常見特徵，下列何者錯誤？","網路頻寬滿載","網通設備或防火牆負載過重","作業系統或服務超載","網站內容只有影片無法播放",0,"D","影片無法播放不能斷定為 DoS，錯誤"
"公司單次租賃建立熱備援測試站點，測試完成後離開前應先確定何項？","執行管理審查會議並給供應商建議","確定殘餘風險與修正步驟","清理站點內所有公司測試資料","進行根本原因分析並完成評估報告",0,"C","應清除所有測試相關資料避免外洩"
"何種情況最應建立線上即時備援系統？","7×24×365 不中斷平台服務","網路中斷不可超過 2 小時","ERP 系統屬高衝擊","防火牆列高風險",0,"A","全天候服務需即時備援"
"營運持續過程中，在（甲）備援中心回復最低可接受水準，最後再（乙）原地重建時，其服務重啟順序為下列何者？","(甲) 與 (乙) 都先回復最重要系統","(甲) 最重要系統先回復，(乙) 最後回復","(甲) 最後回復最重要系統，(乙) 最先回復","(甲) 與 (乙) 最重要系統都最後回復",0,"B","先於備援中心恢復關鍵系統，原地重建時將最關鍵系統放最後回復"
"下列何者為組織建立備援機制的首要步驟？","建立備援機制政策","建立不同地點機房","購置最新網安設備","購置最新主機監視系統",0,"A","先訂定政策，再做其他建置"
"下列何者「不」屬於營運持續性相關用語？","交叉錯誤率（CER）","營運衝擊分析（BIA）","復原時間目標（RTO）","最大可容忍中斷時間（MTD）",0,"A","CER 為生物辨識領域用語，非營運持續管理用語"
