題目,A,B,C,D,複選,答案,詳解
"關於資訊資產，下列敘述何者不正確？","資安等級之影響評估至少含機密性、完整性","資產重要性等級區分完成後不需再重新檢視","資產分類分級為後續風險管控所需","資產標示不限於硬體資產",0,"B",""
"關於資產分類分級，下列敘述何者正確？","資產評估不考量 CIA","不需考慮產業別差異","可作為風險評估之依據","CCTV 歸在人資部門管控可不列入分類評估",0,"C",""
"雲端服務資產識別議題，下列何者有待商榷？","雲端服務系統未列會計科目資產故不需盤點","雲端服務資料屬企業組織資產","雲端服務系統仍屬資產識別需考量","法規適用各國標準不同需審慎使用",0,"A",""
"資產盤點和建立資產清冊時，下列何者不是必要做法？","資產清冊需識別與資訊處理設施有關之資產","資產清冊需標示資產購置時的成本費用","已識別的資訊資產需指派擁有者","資產清冊應文件化",0,"B",""
"風險不可能不存在，面對風險有哪四種處置方法？","接受、降低、移轉、避免","規劃、評估、排序、避免","面對、處理、解決、接受","評估、分析、處理、降低",0,"A",""
"假設災難一定會發生，為確保組織可遵循作業程序以降低損失，必須制定下列何種文件？","風險管理計畫","緊急應變計畫","適用性聲明","內部稽核計畫",0,"B",""
"為達 ERP 系統不中斷使用要求，決定建立 ERP 備援系統，屬於何種風險處理行為？","風險規避（Avoid）","風險轉嫁（Transfer）","風險降低（Reduce）","風險接受（Accept）",0,"C",""
"關於風險降低，下列敘述何者不正確？","包含稽查及遵守計畫","包含處理偶發事故的計畫","包含評估新控制方法之相對利益","包含契約、保險及結構（合夥經營）",0,"D",""
"關於風險處理，下列敘述何者正確？","只要風險處理就可消弭所有風險","不需考慮成本或法規要求","處理後可能產生新風險或殘餘風險","僅能選擇暫時接受風險",0,"C",""
"關於網路及系統存取管理，下列何者不正確？","系統主機應考量自動登出機制","若因人為誤植帳密，無需保存紀錄檔","連線來源與目的位址應建立路由控管","管理者應依使用者身份控管應用程式存取",0,"B",""
"關於特權管理，下列敘述何者最正確？","登入主機應用 Administrator/Root 帳號","資料庫管理員需讀取資料以調校效能","基於代理機制，系統管理員需網路管理與本機管理帳號","應定期審查特權帳號，有人離職亦應立即審查",0,"D",""
"為防止非授權存取，企業應根據存取控管政策管理使用者存取權限。下列何者與管理存取權限無關？","定期變更密碼","定期審查使用者存取權限","保留存取紀錄","資料備份",0,"D",""
"若有特殊業務需求進行存取敏感資料，即使有資料存取權限，仍需提出存取理由，此屬於哪一原則？","職務區隔","最小權限原則","必要知道原則","RBAC（角色基礎存取控制）",0,"C",""
"關於權限管理，下列敘述何項較不適？","採購人員擁有採購系統新增/編修/存檔，無刪除權","總經理只擁有採購系統所有模組查詢權","總經理將採購系統最高管理者帳密存於保險箱，另用他帳號登入","資訊主管帳號為採購系統管理者，無須監控其操作",0,"D",""
"密碼驗證攻擊中，以下何者「不是」透過反覆嘗試密碼來破解？","雜湊注入（Pass-the-Hash）","暴力攻擊（Exhaustive Search）","字典攻擊（Dictionary）","猜測攻擊（Guessing）",0,"A",""
"使用者選定密碼時，何組較不易被破解？","qwA$c&1!e","password","12345678","abcd0229",0,"A",""
"關於密碼強度，下列敘述何者不正確？","符合密碼複雜性可增強強度","同複雜度下，長度越長安全性越高","密碼複雜性原則不包含數字","密碼複雜性原則不包含圖片",0,"C",""
"為強化身份認證機制，常採雙因素認證，下列何種組合不屬於雙因素認證？","密碼 + RFID 感應卡","RFID 感應卡 + 自然人憑證 IC 卡","自然人憑證 IC 卡 + 指紋","指紋 + 密碼",0,"B",""
"下列何者非單一登入（SSO）之優點？","集中權限控管","降低帳號密碼組合困擾","減少重新輸入密碼程序","簡訊認證",0,"D",""
"關於 Kerberos，下列敘述何者不正確？","針對個人通信安全可認證","是一種非對稱金鑰管理機制","可用複合 Kerberos 伺服器與缺陷認證補救","具備加密機制保護資料完整性",0,"B",""
"關於網路服務使用者身分驗證之考量，下列何者不正確？","What you know：使用者記住的資訊","What you have：使用者持有的認證裝置","Who you are：使用者所扮演角色（學代）","What you are：使用者生物特徵（指紋、虹膜）",0,"C",""
"在系統服務中，關於身分驗證，下列敘述何者正確？","通過認證後可暢行無阻","通過認證後享最高權限","通過認證後使用行為皆適合理","依最小權限原則給予適當權限",0,"D",""
"中華民國目前使用自然人憑證作為網路應用之合法身份識別依據，下列何者不正確？","基於 PKI 架構的應用","代表申請人身份具法律效力","一次申請永久有效無需換發","具不可否認性",0,"C",""
"關於營運持續管理處理策略之選擇，下列何者不正確？","轉移風險（Transfer）","避免風險（Avoid）","調整風險（Adjust）","接受風險（Accept）",0,"C",""
"依據「行政院國家資通安全會報通報及應變作業流程」，判定事故影響等級時，評估機密、完整、可用性衝擊，下列何者非 4 級事件？","國家機密資料遭洩漏","關鍵資訊基礎設施系統或資料遭嚴重竄改","關鍵資訊基礎設施系統停頓無法在容忍時間內回復","機關業務系統或資料遭嚴重竄改",0,"D",""
"將不同設備或不同时段的日誌做比對，強化判斷是否真正資安事件之動作，稱為？","根因分析（Root Cause）","關聯分析（Correlation）","暫時解決方案（Workaround）","升級（Escalation）",0,"B",""
"下列何者可「確定」為資安事故（Security Incident）？","防毒軟體成功更新病毒碼","監控系統警示「硬碟使用量超 80%」","Google 搜尋出現公司機密文件","設備廠商進入機房維修",0,"C",""
"企業委託第三方團隊對企業網路進行安全性評估，找出弱點或設定問題，並測試員工對各種攻擊異常事件的反應。該測試稱為？","原始碼測試（Source Code Review）","壓力測試（Stress Testing）","迴歸測試（Regression Testing）","滲透測試（Penetration Test）",0,"D",""
"下列何種權利必須到經濟部智慧財產局申請才可享有？ (a) 專利權 (b) 商標權 (c) 著作權","(a)(b)","(a)(c)","(b)(c)","(a)(b)(c)",0,"A",""
