題目,A,B,C,D,複選,答案,詳解
"下列何者為防禦 XSS（Cross-Site Scripting）的最佳方式？","輸入參數黑名單過濾","輸入參數白名單過濾","輸入參數長度過濾","輸出頁面過濾",0,"B",""
"HTTP Cookie 的用途是？","在瀏覽器中儲存資訊（如 Session ID）","瀏覽器的設定檔","幫助防禦 XSS 攻擊","幫助防禦 XML Injection 攻擊",0,"A",""
"安全性測試人員可用反組譯器（Disassemblers）、除錯器（Debuggers）和反編譯器（Decompilers）來發現哪種弱點？","缺乏逆向工程（Reverse Engineering）保護","注入缺失（Injection Flaws）","跨網站指令碼（XSS）","不安全的物件參考（Insecure Direct Object Reference）",0,"A",""
"下列何者不是 Windows 安全開發必須注意之處？","Socket 設計","多執行緒（Multi-thread）設計","常駐程式設計","封包流量設計",0,"D",""
"下列何者並非防毒軟體偵測的方式？","特徵碼掃描","檔案完整性掃描","沙箱檢測","程式碼檢核",0,"D",""
"關於弱點掃描，下列敘述何者不正確？","可能會觸發入侵偵測系統的警告","屬於滲透測試的前置作業之一","使用 Ping 工具可算是前置作業之一","部署 WAF 即可避免遭受弱點掃描探測",0,"D",""
"下列哪些是 rootkits 的主要特性？ (1)讓駭客取得最高權限 (2)具隱藏性 (3)在系統內大量自我複製 (4)讓駭客可遠端控制","(1)(2)(3)","(1)(2)(4)","(2)(3)(4)","(1)(2)(3)(4)",0,"B",""
"如果廠商釋出新發現的嚴重漏洞修正檔，老闆要求你立即更新所有系統，較佳作法為？","立即對所有系統套用修正檔","先測試修正檔，無誤後再行修補","先更新防毒軟體再行修補","先執行漏洞掃描再進行修正檔套用",0,"B",""
"下列何者不是電腦病毒傳染途徑？","經由網路下載軟體傳染","經由電子郵件附加檔案傳染","經由應用程式存取資料庫資料","經由被感染的可移式媒體（USB、CD）",0,"C",""
"關於備份管理作業，下列敘述何者不正確？","需排定備份計畫，並定期執行備份","備份結果之相關作業紀錄須留存備查","規劃備份作業應含系統設定、應用程式及資料庫等","備份資料回復測試結果僅需記錄在本機",0,"D",""
"哪個資訊儲存媒體相較其他選項，不太適合企業作為「大量資料備份」用途？","LTO Tape","SD Memory Card","Disk Array（磁碟陣列）","Tape Library（磁帶櫃）",0,"B",""
"針對先前備份的資料進行復原時發現無法正常還原，原因最可能是？","沒設定適當的 RTO 時間","備份時間太長導致影響復原可靠度","未定期進行還原測試","備份政策未定義好備份頻率",0,"C",""
"為確保公司備份資料完整性，下列方式何者最佳？","加解密","身分驗證","雜湊計算（Hash）","資訊隱藏",0,"C",""
"某組織上班尖峰時段：912 點、1317 點，若執行備份控制措施，下列何者最佳？","中午 12 點執行完整備份，晚上 20 點差異備份","中午 12 點執行差異備份，晚上 20 點進行完整備份","上午 10 點執行完整備份，下午 15 點執行差異備份","上午 10 點執行差異備份，下午 15 點執行完整備份",0,"B",""
"關於 Syslog（系統日誌）或系統記錄，下列敘述何者不正確？","Syslog 是用於 TCP/IP 網路傳遞記錄檔訊息的標準","Syslog 訊息可透過 UDP 或 TCP 協定傳送","Syslog 可用於系統管理及資安稽核","Syslog 必定以明碼傳送，無法透過 SSL/TLS 加密",0,"D",""
"關於「系統日誌」應採取的保護措施，下列敘述何者不正確？","為防個資洩露，不需記錄使用者識別碼","防止系統日誌被未授權存取","防範日誌記錄檔被修改或刪除","防範超過媒體容量時的錯誤",0,"A",""
"「主要記錄系統本身的登入/登出行為，如系統管理人員遠端登入」係下列哪個記錄檔之功能？","系統日誌檔","應用程式日誌檔","安全性日誌檔","網路日誌檔",0,"C",""
"「留存日誌」是為了達成資訊安全的哪項特性？","機密性（Confidentiality）","可用性（Availability）","可靠性（Reliability）","不可否認性（Non-Repudiation）",0,"D",""
"關於雲端蜜罐（Honeypot）技術，下列敘述何者不正確？","攻擊蜜罐的行為都是可疑的","通常設置在真正的運作環境之中","偽裝成有用網路或系統，並設置漏洞誘使駭客攻擊","為取得病毒樣本的其中一種方法",0,"B",""
"對雲端服務的安全管理而言，實施稽核是一項必要作法，可確認雲端服務商是否符合資安要求。下列何者不是考量事項？","用戶應選擇單一雲端服務商提供的服務","將實施稽核的權利納入合約","用戶應選擇熟悉雲端與法規的稽核人員","可要求服務商定期審查更新資安流程",0,"A",""
"使用雲端架設的 Http 服務時，若伺服器回傳 404 HTTP 狀態碼，代表？","Not Found，請求資源不在伺服器","OK，請求已成功","Gateway Timeout，伺服器等下游回應逾時","I'm a teapot，煮咖啡時回傳此狀態碼",0,"A",""
"針對行動裝置的安全防護，下列敘述何者不正確？","儘量使用變壓器座充，避免連接電腦充電","設置密碼或鍵盤鎖等防護措施","避免下載或安裝不明程式","不會中毒，無需安裝防毒 App 以免影響裝置效能",0,"D",""
"關於提高行動裝置連線的安全性，下列敘述何者不正確？","不需開啟定位（GPS）時應保持關閉","第三方免費 Wi-Fi 服務時就直接用，不必了解提供者","應小心使用藍牙功能，無需求時關閉","使用公眾場合充電時，先確保傳輸功能關閉",0,"B",""
"關於行動裝置上運用 HCE（Host Card Emulation）行動支付方式的安全，下列敘述何者不正確？","從雲端支付平台取得的金鑰具時效性","無需挑選通過安全認證的手機","手機無需具備安全元件來儲存支付資訊","需更換具備安全防護特殊的 SIM 卡才能支援",0,"D",""
"在物聯網中，電器設備以無線通訊協定互聯時，若外來超強訊號干擾導致「蓋臺」，是屬於哪一類攻擊？","中間人攻擊（MITM）","SQL Injection","隱藏欄位攻擊","阻斷服務攻擊（DoS）",0,"D",""
"多數智慧家電採用不安全通訊協定，駭客可利用此進行何種攻擊？ (1)中間人 (2)TCP/IP 劫持 (3)重播 (4)垃圾搜尋","(1)(2)(3)","(1)(2)(4)","(1)(3)(4)","(2)(3)(4)",0,"A",""
"物聯網安全漏洞因素多，下列敘述何者不正確？","需將安全納入設計流程","建立漏洞管理與不斷更新","必須建立在經過驗證的安全機制上","技術必須藏在黑盒子內，太透明風險更高",0,"D",""
