題目,A,B,C,D,複選,答案,詳解
"下列何種機制「不」可用於加密及解密？","AES（Advanced Encryption Standard）","DES（Data Encryption Standard）","RSA（Rivest–Shamir–Adleman）","MD5（Message-Digest Algorithm）",0,"D",""
"依據國家資通安全通報應變作業中所訂定的資安事件影響等級，共分為幾種等級？","4 級","5 級","3 級","7 級",0,"A",""
"關於企業組織遭遇 DoS 或 DDoS 攻擊的常見特徵，下列敘述何者「不」正確？","網路頻寬滿載","網通設備或防火牆不堪負載","電腦與伺服器作業系統或服務超載","網站內容只有影片無法播放",0,"D",""
"重大資安事故通常會分析其根本原因（Root Cause），最主要目的在於下列何者？","找出避免相同事故再次發生之處置方法","懲處相關人員","可能需要進行數位鑑識（Forensic）","縮短當下的應變時間",0,"A",""
"證據保管鏈（Chain of Custody）為具有保管且能夠為證據提供文件證明的程序，下列何種方式可確保證據記載資訊的完整性？","SHA-256","X.509","WPA2","TLS 1.3",0,"A",""
"關於營運衝擊分析應考慮項目，下列敘述何者「不」正確？","復原至最低營運程度所需之員工、技能、設施及服務所需之時間","損害程度之等級不包括收入損失、商譽損失、競爭優勢等","最低營運程度所需之員工、技能、設施及服務","完全復原至原服務水準所需之員工、技能、設施及服務時間",0,"B",""
"公司在分析重要營運功能的損壞或失去所造成的損害程度行為，稱為下列何者？","風險評鑑（Risk Assessment）","營運衝擊分析（Business Impact Analysis）","危機溝通計畫（Crisis Communications Plan）","風險評估（Risk Evaluation）",0,"B",""
"在進行營運持續規劃時，若評估發現公司資料遺失之最大可接受程度為 10 分鐘內，應考慮下列何者？","RPO（Recovery Point Objective）","RTO（Recovery Time Objective）","WRT（Work Recovery Time）","MTPD（Maximum Tolerable Period of Disruption）",0,"A",""
"若固定每星期日執行一次完整備份（Full Backup），星期一到星期六每天備份與前一天差異的部分，此現象稱為下列何者？","差異備份（Differential Backup）","增量備份（Incremental Backup）","循環備份（Circulatory Backup）","緊急備份（Emergency Backup）",0,"B",""
"下列何種磁碟陣列（RAID）等級，沒有提供容錯能力？","RAID 1","RAID 0","RAID10","RAID 5",0,"B",""
"在進行演練測試時，規劃將關閉主站點來進行有效測試，請問此方法為下列何種測試？","結構化瀏覽演練（Structured Walk-through）","模擬測試（Simulation Test）","並行測試（Parallel Test）","完全中斷測試（Full-interruption Test）",0,"D",""
"個人資料保護法之立法目的有二：一是避免人格權受侵害、一是促進個人資料合理利用，下列何種資訊「不」屬於該法保護的個人資料？","自然人之姓名、出生年月日","國民身分證統一編號、護照號碼","公司電子信箱、員工編號","特徵、指紋",0,"C",""
"在學校宿舍內架設網站，分享從網路上下載的音樂或影片，並且提供同學下載，請問侵犯了智慧財產權法規的哪一條？","營業秘密法","商標法","個人資料保護法","著作權法",0,"D",""
"下列何者「不」是隱私保護與智慧財權需遵守的項目？","制定智慧財產權遵循政策，並定義軟體及資訊產品之合法使用","維護與實作使用授權、原版光碟及手冊等所有權證明文件","所有員工皆須遵循客戶資訊隱私保護之相關法律及法規","員工可識別資訊不在隱私保護要求範圍內",0,"D",""
"為保障持卡人的資料安全，制定統一的資料安全標準，提供資料安全的技術與作業要求之基準，此行為屬下列何者？","PCI DSS","HIPAA","Sarbanes-Oxley Act","Basel II",0,"A",""
"下列何者違反 GDPR（General Data Protection Regulation）的規範要求？","GDPR 為歐盟一般資料保護法規","任何使用與歐盟公民相關資訊的公司都必須遵循","雲端處理者與控制者目前不納入 GDPR 強制範圍","持有個資之組織需實施適切安全控制措施防止遺失",0,"C",""
