題目,A,B,C,D,複選,答案,詳解
"關於風險改善計畫，下列敘述何者較「不」正確？","計畫不可變更","計畫應有期限","計畫完成後評估成效","針對超可接受風險項目處置",0,"A",""
"風險評鑑發現全球網站位於內網，增加外部入侵內部網路風險，下列何者為「迴避」該風險之作法？","改設網站於防火牆 DMZ 區","改設網站於外部租用空間","增設網路監控，強化入侵機制","設置網站於內部獨立網段",0,"B",""
"關於資訊安全風險管理之要求，下列何者正確？","風險評鑑需識別與 CIA 相關之風險","需有一位風險管理主管","需納入年度預期損失程序","需取得資產擁有者對風險處理計畫之核准",0,"A",""
"公司派工系統原非高風險，但連續宕機造成損失，欲重檢視風險評鑑要素，下列何者「不」適當？","資訊資產重要性","資訊資產威脅","資訊資產殘值","資訊資產脆弱點",0,"C",""
"關於使用者帳號存取管理，下列敘述何者正確？","外部人員無需管理權限","隨時更新使用者資訊","職務無異動人員無需定期檢視","高階主管可自訂密碼長度",0,"B",""
"關於特權管理，下列敘述何者最「不」適切？","遠程遙控主機應保留操作紀錄","若無法保留紀錄，應透過跳板機制側錄","FTP、SSH 系統帳號牽涉連接容許不變更密碼","管理員帳號使用時可運用 Runas/sudo/UAC",0,"C",""
"關於權限定期審核之做法，下列何者較佳？","所有系統皆每年審核一次","僅挑選使用者多系統","根據風險及衝擊分析決定頻率","排除特殊權限帳號不檢查",0,"C",""
"關於控制的類型，下列何者「不」正確？","嚇阻性：使有犯意者恐懼放棄","偵測性：事件發生時產生警訊","預防性：避免事件發生","指導性：回復正常運作之措施",0,"D",""
"關於特權帳號管理與控制中需特別注意的項目，下列何者「不」正確？","登入時間與次數","留下詳細軌跡，每日盤點稽核","雙授權機制增加控制點","避免分散，帳號密碼統一",0,"D",""
"何者「不」適用於帳號特權管理方式？","密碼分持","帳號密碼共用","密碼函控管","定期審查特殊權限使用者",0,"B",""
"多因子認證下列何者「不」正確？","你所知道的事物","你所努力的事物","你所擁有的事物","你所具有的特徵",0,"B",""
"下列何者「不」屬於存取控制議題？","密碼定期變更","對遠端連線有申請程序及期限","程式開發上線應不同人員","錯誤登入上限超過示警或因應",0,"C",""
"關於日誌（Log）定期檢視，下列何者最正確？","僅限稽核處人員","僅由系統管理人員定期檢視","主管指派非管理系統人員檢視","主管指派非管理者定檢視，管理者亦應定期執行",0,"D",""
"關於身分認證（Authentication），下列敘述何者正確？","一個唯一電子可讀名，供系統識別","授予使用者讀寫執刪權限程序","自動記錄軌跡自行檢核存取","指通過手段完成對用戶身份確認",0,"D",""
"在存取控制中，下列何者為權限管理最基本要求？","最小權限","最大權限","適中權限","無權限",0,"A",""
"關於系統管理者統一指定使用者對資源之存取策略，屬哪種安全模式？","MAC（Mandatory）","DAC（Discretionary）","RBAC（Role-Based）","ABAC（Attribute-Based）",0,"A",""
"關於個人資料檔案（含紙本與電子檔）的保存與銷毀，下列敘述何者「不」正確？","蒐集之個資應訂保存年限，非特殊不得設永久","應將個資檔案保存期限填寫於檔案清冊","紙本封箱保存時，無需標示機制","資料銷毀應建立 SOP 並記錄",0,"C",""
"為防止身分認證使用之帳號密碼被破解，下列敘述何者「不」正確？","密碼應與帳號有關以防忘記","密碼至少 8 碼含數字字母大小寫特殊符號","密碼定期更換不可重複","不與他人分享或用懶人密碼",0,"A",""
"關於數位簽章（Digital Signature）與數位信封（Digital Envelop），下列何者正確？","皆運用 Hash 函式","數位簽章以對稱金鑰加密訊息摘要","數位信封先對稱加密，再以公開金鑰加密金鑰","皆已加密訊息",0,"C",""
"關於數位簽章（Digital Signature），下列敘述何者「不」正確？","使用 PKI","簽章時用公鑰加密","公鑰須向 CA 註冊","可用 ElGamal 演算法實作",0,"B",""
"資安事件發生時，下列敘述何者較「不」正確？","疑似病毒時可拔線避免擴散","天災時攜重要資料離開","事件發生第一時間，不需判斷立刻行動","保留所有證據以利分析",0,"C",""
"若公司電腦檔案被勒索軟體加密，下列何者「不」是正常應變處置？","斷網降低擴散並做鑑識","清查是否備份或安全區檔案","交比特幣贖金加速解密","依資安通報流程通報",0,"C",""
"依行政院國家資通安全會報通報及應變流程，政府機關判定 3 或 4 級事件，應於幾小時內完成復原/損害管制？","24 小時","36 小時","48 小時","60 小時",0,"B",""
"某公司遭駭客對網站伺服器傳送大量封包，導致網站癱瘓，此為何者？","資訊安全事件（Event）","資訊安全事故（Incident）","資訊安全風險（Risk）","資訊安全分析（Analysis）",0,"B",""
"公司規定重要系統與資料發生重大災難時不可長期中斷，若建置異地備援中心，下列何者「最」能滿足需求？","熱備援（Hot Backup Site）","暖備援（Warm Backup Site）","冷備援（Cold Backup Site）","無需建置備援",0,"A",""
"若管理層希望多重備援（Redundancies）以實現 ISMS 中的可用性，應屬哪種資訊處理措施？","紀錄之保護","系統安全測試","保護應用服務交易","資訊處理設施之可用性",0,"D",""
"關於系統備援方案：1. 熱備、2. 暖備、3. 冷備所需資源成本，下列排序何者正確？","3 ＞ 1 ＞ 2","3 ＞ 2 ＞ 1","1 ＞ 2 ＞ 3","2 ＞ 1 ＞ 3",0,"C",""
"系統若固定每週日進行完整備份（Full），則週一～週六每天備份後與「週日完整備份」不同之部分稱為？","差異備份（Differential）","增量備份（Incremental）","循環備份（Circulatory）","緊急備份（Emergency）",0,"A",""
"關於 RTO 與 RPO，下列敘述何者「不」正確？","RTO：發生中斷後達原運作水準之時間","RPO：發生中斷後資料恢復之時間點","RTO 與中斷時間有關，RPO 與資料遺失區間有關","因應 RPO 所用技術時也影響 RTO",0,"A",""
"異地備援建置距離應離原機房足夠遠，主要考量下列何者？","建置難度","建置費用","災難發生時間","災難影響範圍",0,"D",""
"個人資料保護法管轄蒐集、處理與利用行為，下列何種行為「不」屬其中？","取得個人資料","建立/利用個資檔案記錄/編輯更正輸出","蒐集之個資用於處理外使用","陌生推銷壽險傳單",0,"D",""
"關於隱私保護，下列敘述何者「不」正確？","領土隱私：限制他人入侵居家與工作場所","通訊隱私：規範任何形式通訊安全（如信件、郵件）","身體隱私：婚姻狀態、就業狀態","資訊隱私：規範個資收集/處理/利用（如信用卡、醫療）",0,"C",""
"下列何者「不」屬於受到智慧財產權保護的資產？","空白光碟片","原版軟體光碟片","軟體版權","Windows 作業系統",0,"A",""
"資訊倫理四大議題（PAPA，Mason）中，下列何者「不」在其中？","隱私權（Privacy）","精確性（Accuracy）","所有權/財產權（Property）","可用性（Availability）",0,"D",""
"由獨立驗證單位執行之稽核，稱為何者？","第一方稽核","第二方稽核","第三方稽核","聯合/合併稽核",0,"C",""
