題目,A,B,C,D,複選,答案,詳解
"以現行科技發展言，下列何種生物特性較「不」適合作為身份鑑別？","指紋","虹膜","臉部特徵","身高",0,"D","身高不具足夠區別性與穩定度"
"關於生物辨識錯誤型態，下列何者正確？","錯誤接受（FAR）時會拒絕正確使用者","交叉錯誤率（CER）= FRR 與 FAR 相交點","對存取控制而言，第一型錯誤（Type I）比第二型錯誤（Type II）更嚴重","視網膜與虹膜辨識的 CER 最高",0,"B","B：CER 即 FRR=FAR 的交叉點"
"如附圖所示，帳號＋密碼登入系統，為確保安全必須採取何措施？","(1)(2)(3)","(1)(2)(4)","(1)(3)(4)","(2)(3)(4)",0,"B","題意：通常建議：1.定期更換密碼 2.使用複雜度高 4.避免重複使用，(3) 未必必要"
"關於 AD 與 LDAP 兩者比較，下列何者正確？","AD 是通訊協定","LDAP 是目錄服務","AD 網域基本物件包含 DC、Computers、Builtin、Users","LDAP 提供唯讀型網域控制站",0,"C","AD 是微軟的目錄服務，LDAP 是用來讀取/修改目錄資料的協定，C 為正確"
"某位安全分析師整合單一登入解決方案，需採開放性標準並能在多個網頁應用程式間交換認證授權訊息，下列何者最適合作為建議？","RADIUS","SAML","TACACS+","XTACACS",0,"B","SAML 為常用的基於 XML 的單一登入協定"
"公司的簽到系統採用簽名辨識（動態特徵），某日員工改用左手亦通過辨識，安全管理員得知後應如何處理？","提高靈敏度以降低 FRR","降低靈敏度以提高 FRR","提高靈敏度以降低 FAR","降低靈敏度以提高 FAR",0,"C","此案例顯示系統過於寬鬆，使左手也可通過，故應調高敏感度以降低錯誤接受率（FAR）"
"關於密碼學所能達成的主要目的，下列何項錯誤？","機密性","完整性","可用性","不可否認性",0,"C","密碼學可提供 CIA 中的 C 與 I，但「A（可用性）」非密碼學直接達成"
"關於金鑰生命週期管理之儲存階段最佳實務，下列何項錯誤？","金鑰不可明文儲存","金鑰若留存在系統記憶體中，其暫存特性即可保護","離線儲存時須以 KEK（Key Encryption Key）保護","金鑰應儲存於安全模組（HSM）",0,"B","存放於記憶體時仍可能被讀取或傾印，不代表自動安全"
"量子電腦技術對現代密碼學之影響，下列何項錯誤？","非對稱式密碼學可被有效破解","對稱式密碼學面臨巨大風險需全數汰換","後量子密碼學可抵抗量子電腦運算優勢","CRYSTALS-Kyber、FALCON、Classic McEliece 為後量子密碼演算法",0,"B","對稱式加密受量子運算影響較小，只需增加金鑰長度即可相對抗衡，並非全數汰換"
"附圖為 Kerberos 認證過程，圖中使用者取得的兩個票證依序為何者？","TGT（Ticket-granting Ticket）、ST（Service Ticket）","ST（Service Ticket）、TGT（Ticket-granting Ticket）","MT（Master Ticket）、ST（Service Ticket）","CT（Client Ticket）、ST（Server Ticket）",0,"A","Kerberos：先向 KDC 要 TGT，再用 TGT 向 TGS 拿 ST"
"下列何種機制「不」可用於加密及解密？","AES","DES","RSA","MD5",0,"D","MD5 為雜湊演算法，不具備解密功能"
"關於安全事件管理的敘述，下列何者錯誤？","透過完整資安管理制度監控重要服務日誌","良好的 SIEM 機制能達成法規遵循及威脅管理","風險矩陣可定義事件風險係數與資產價值","OSSIM 屬於常見商業化 SIEM 系統",0,"D","OSSIM (Open Source Security Information Management) 為開源方案，非商業化"
"依據「資通安全事件通報及應變辦法」，主管機關接獲通報後，若判定為 1 或 2 級事件，應於幾小時內完成審核？","2 小時","4 小時","8 小時","12 小時",0,"C","1~2 級事件於 8 小時內完成審核"
"不同設備集中管理的資安事件整合系統 SIEM，SIEM 原文為下列何項？","Security Information and Event Management","System Incident and Escalation Management","Server Integration and Event Management","System Integration and Escalation Management",0,"A","SIEM 即 Security Information and Event Management"
"若為重大資訊安全事件，處理完畢並妥善控制後，為預防事件重複發生並找出原因，應由下列何者指派專人召開事件檢討會？","資安事件處理小組組長","資訊安全工程師","資訊安全長","資安稽核組長",0,"C","重大事件需高階層（資訊安全長）指派召開檢討會"
"關於企業遭遇 DoS 或 DDoS 攻擊常見特徵，下列何者錯誤？","網路頻寬滿載","網通設備或防火牆不堪負載","作業系統或服務超載","網站內容只有影片無法播放",0,"D","D 不能斷定只影片無法播放屬 DoS，可能是檔案問題或其他非 DoS 因素"
"公司採單次租賃方式建立熱備援測試站點並定期測試，測試完成後在離開前應確定下列何項？","執行管理審查並給供應商建議報告","確定測試中殘餘風險與修正步驟","清理該測試站點內公司所有測試資料","進行根本原因分析並完成測試評估報告",0,"C","租賃完畢後應將公司資料清除，以免遺留敏感資訊"
"下列何種情況最應建立線上即時備援系統？","承諾客戶提供 7×24×365 不中斷平台","公司資安目標要求網路中斷不可超過 2 小時","BIA 結果顯示 ERP 屬高衝擊","防火牆列入高風險",0,"A","需全天候不中斷最適合設線上即時備援"
"營運持續過程中，（甲）備援中心先回復至最低可接受水準，最後於（乙）原地重建時，其重啟服務順序應為下列何項？","(甲) 與 (乙) 都先回復最重要系統","(甲) 最重要系統先回復，(乙) 最後才回復","(甲) 最重要系統最後回復，(乙) 最先回復","(甲) 與 (乙) 最重要系統都最後回復",0,"B","備援中心先恢復關鍵服務以維持營運，原地重建時最重要系統可放最後"
"下列何者是組織建立備援機制的首要步驟？","建立相關備援機制政策","建立多個異地機房","購置最新網路安全設備","購置最新主機監視系統",0,"A","先訂定政策，再落實建置"
"下列何者「不」屬於營運持續性的相關用語？","CER（交叉錯誤率）","BIA（營運衝擊分析）","RTO（復原時間目標）","MTD（最大可容忍中斷時間）",0,"A","CER 屬生物辨識領域用語，非營運持續管理用語"
