題目,A,B,C,D,複選,答案,詳解
"雙因認證（Two-Way Factor）可以防止下列何者攻擊？","阻斷式服務攻擊","SQL 資料隱碼攻擊","密碼側錄攻擊","中間人攻擊（Man-in-the-Middle Attack）",0,"C",""
"cat ~/.bash_history 指令的目的為？","列出使用者目錄","列出系統目錄","列出使用者曾下過的指令","列出系統安裝歷史",0,"C",""
"下列哪項作法對於強化作業系統保護降低被攻擊風險效益不大？","定期自動更新","啟用預設拒絕政策的系統防火牆","啟用 IPSec 服務","安裝並更新防毒軟體",0,"C",""
"下列何者不屬於作業系統安全的預防（Preventive）機制？","實施密碼原則","安裝防毒軟體","定期套用安全性更新","定期檢視安全記錄檔（Log）",0,"D",""
"nslookup 常被駭客收集資訊時使用，下列何者不是其目的？","用來掃描已開啟的 TCP/UDP Port","診斷 DNS 架構","查詢網域名稱伺服器","以 DNS 名稱尋找主機 IP 位址",0,"A",""
"下列何者「並非」作業系統中毒可能徵兆？","檔案無故遭加密","上網速度變慢或無法連線","無故出現對話框且無法關閉","資料讀取速度變快",0,"D",""
"下列何者不是 XSS（Cross-Site Scripting）攻擊語法？ (題目未提供實際內容，僅保留選項)","(A)","(B)","(C)","(D)",0,"C",""
"SQL 資料隱碼攻擊的主要原因在於？","系統漏洞對系統造成危害","程式開發者疏忽，未對使用者輸入進行過濾與檢查","資料庫存取權限設定錯誤","遭駭客用社交工程及惡意程式攻擊",0,"B",""
"資料庫若要事前告警、即時發現、以及事後分析異常存取事件，應導入哪種安全防護措施？","資料庫加密","資料庫叢集","資料庫稽核","資料庫掃描",0,"C",""
"安全的系統發展生命週期（SSDLC）有多個階段，下列哪個不是其階段？","設計","需求","估價","開發",0,"C",""
"Android 系統的核心層級應用程式沙箱 (Sandbox) 是以何方式提供安全性？","每個應用程序指定唯一 UID，並於獨立程序中執行","於非特權群組識別碼（GID）下執行所有應用程式","限制核心處理程序進行非法讀取","防止任何未授權的核心處理程序執行",0,"A",""
"程式碼簽署（Code Signing）無法提供下列哪項功能？","確認軟體開發者身份","防止程式碼遭篡改","用戶端認證","程式碼執行期之合法性識別",0,"C",""
"撰寫安全程式碼的知名業界參考指引為下列何者？","NIST SP 800 系列","OWASP 指南","FIPS 系列","ISO22301 相關標準",0,"B",""
"關於逆向工程，下列敘述何者正確？","從組合語言恢復高階語言的結構與語法","從機器語言恢復高階語言的結構與語法","從高階語言恢復組合語言的結構與語法","從高階語言恢復機器語言的結構與語法",0,"B",""
"關於原始碼漏洞修補，下列敘述何者不正確？","所有類型的原始碼漏洞，均可找到對應弱點掃描方法","未經驗證的使用者參數應加以驗證","SQL Injection 的源頭可能來自 Web 頁面或資料庫自身資料","XSS 的源頭可能來自於瀏覽器的 DOM",0,"A",""
"關於弱點掃描（Vulnerability Assessment），下列敘述何者不正確？","屬於一種網路探測技術","透過掃描各端口/節點弱點並比對弱點資料庫","若防火牆/IDS 為被動防禦，弱點掃描屬主動防禦","弱點掃描與原碼檢測須擇一使用，以免檢測數據互相干擾",0,"D",""
"關於行動碼（Mobile code），何者不正確？","通常不具傷害性","可於不同作業系統間執行","可於不同瀏覽器上順利執行","無法從遠端系統傳到本地端執行",0,"D",""
"病毒（Virus）與蠕蟲（Worm）之比較，下列何者最正確？","病毒通常為惡意程式，蠕蟲通常不是","病毒透過使用者操作傳播，蠕蟲則會自行擴散","病毒檔案通常比蠕蟲大","病毒可自行存在，蠕蟲則無法",0,"B",""
"下列哪一現象比較不像遭惡意程式攻擊？","使用者電腦自動發送大量電子郵件","使用者電腦系統突然變慢、硬碟大量運作","防毒軟體突然被關閉、失去即時防禦","使用者電腦收到垃圾廣告郵件",0,"D",""
"關於個人資料電子檔案管理，下列敘述何者不正確？","非業務所需，不得存放於個人電腦、公用資料夾、公用 PC","臨時性個資檔案若存放於暫存資料夾中，其存放天數不可限制","個資檔案備份應考量備份資料加密必要性","備份媒體亦應適當保管並定期測試還原",0,"B",""
"關於 RPO（Recovery Point Objective），下列敘述何者不正確？","意指災害發生後，系統恢復服務所需時間","與組織執行備份的頻率方式息息相關","RPO 時間越短，成本越高","為持續營運計畫需考量定義的項目",0,"A",""
"何者技術可保護資料傳輸過程安全？","身分驗證","加密","電子簽章","雜湊函數",0,"B",""
"下列哪種備份可恢復整個系統功能或檔案資料，但缺點是耗時較久？","完全備份（Full Backup）","巨量備份（Bigdata Backup）","差異備份（Differential Backup）","增量備份（Incremental Backup）",0,"A",""
"何者議題非屬保護資料安全範圍？","報名網站因 SQL Injection 導致會員資料外洩","線上購物系統被駭導致客戶資料外洩","訂票系統因大量訂單湧入而當機","某學校教學系統分數遭竄改",0,"C",""
"組織/安全網域內，須有一致性同步時脈之主要目的？","確保作業系統完整性","防範資料漏失","作業方便性","確保稽核日誌準確性以利事件紀錄及證據",0,"D",""
"主要記錄系統程式所有活動，如主機或伺服器發生異常活動的紀錄檔為？","系統日誌檔","應用程式日誌檔","安全性日誌檔","網路日誌檔",0,"A",""
"將所有稽核日誌存放於另一台獨立 Log Server，並由非管理系統人員管理，最重要目的為？","方便加密","確保機密不外洩","保護日誌","降低事件發生時處理時間",0,"C",""
"收集不同設備日誌到同一平台管理，但日誌格式與命名不同，為方便分析通常會先做何處理？","正規化（Normalization）","去識別化（De-identification）","最佳化（Optimization）","初始化（Initialization）",0,"A",""
"關於雙因素認證常見媒介，下列敘述何者不正確？","Email","簡訊","智慧卡","密碼",0,"D",""
"建立雲端服務所需資料庫時，從資安角度，何者較不需注意？","資料加密","資料庫使用者角色控管","對連線來源控管","使用正規化規劃資料庫",0,"D",""
"建置雲端資訊系統時，會進行安全分析，下列何者不屬於安全分析？","弱點分析（Vulnerability Analysis）","可行性分析（Feasibility Analysis）","威脅分析（Threat Analysis）","風險評估（Risk Analysis）",0,"B",""
"在行動裝置上，何種使用者驗證方式安全性最低？","圖形軌跡鎖","人臉辨識鎖","指紋辨識鎖","虹膜辨識鎖",0,"A",""
"下列何者攻擊手法針對人與人的互動形成？","重送攻擊（Replaying Attack）","社交攻擊（Social Engineering）","中間人攻擊（Man in the Middle）","阻斷式服務攻擊（Denial-of-Service）",0,"B",""
"為避免使用者遭網路釣魚（Phishing），下列何者不正確？","輸入重要資訊時須檢查網址是否異常","切勿開啟不明信件連結","不隨意連接不信賴 Wi-Fi","用無痕瀏覽器開啟網頁",0,"D",""
"為確保物聯網使用安全，使用者應採哪些防範？ (1)啟用設備安全功能 (2)採用 WiFi 即安全 (3)購買可定期更新韌體之產品 (4)使用安全密碼","(1)(2)(3)","(1)(2)(4)","(1)(3)(4)","(2)(3)(4)",0,"C",""
"關於 IoT 安全設計開發階段建議，下列敘述何者不正確？","開發階段採用高強度密碼並強制啟用","採用最新安全 OS，確保漏洞已修補","為節省成本採用經濟實惠硬體","提供系統故障中斷應變機制",0,"C",""
"在多個物聯網裝置組成之網路中，攻擊者控制其中一節點並將傳送至該節點之封包全部丟棄，屬何種攻擊手法？","黑函攻擊","分割攻擊","蟲洞攻擊","黑洞攻擊",0,"D",""
